Species,domesticated,allocare_binay,adult_mass_combined,Litter_nmass,Litter_wmass,maternal_mass,Adult_mass,Litter_size,Neonatal_mass,Reproductive_years,Gestation_duration,Wean_mass,Wean_age,Litters/year,IBIs,Allonursing,Provisioning_Male,Provisioning_others,Provisioning mothers,Energy_input (Isler Van Schaik),Provisioning_Male (Stockley & Hobson),Energy_input_binary,"Commul nesting, babysitting, retrieval",Carrying_Male,Carrying_others,Care_input (Isler & Van Schaik),MaleCare (Stockley & Hobson),Care_Input_binary,Protection,Protection_binary,notes
Abrocoma_bennetti,0,0,307,,,NA,307,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,
Abrocoma_cinerea,0,0,250,,,NA,250,1.8,12.25,NA,113.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,
Acinonyx_jubatus,0,0,46788.96,,,46788.96,58750,3.16,422.81,17.63125,96.25,1940,117.05,0.65,547.5,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,
Acomys_cahirinus,0,0,36.08,,,36.08,45.25,2.45,5.63,5.26083333333334,37.45,12.445,26.15,5.55,34,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,
Acomys_percivali,0,NA,NA,,,NA,NA,NA,NA,NA,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Acomys_russatus,0,NA,54.43,,,NA,54.43,2.5,7,4.75,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Acomys_wilsoni,0,0,20,,,NA,20,NA,NA,NA,38.1,10,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,
Addax_somaculatus,0,1,107000,,,107000,182375,1,5480,24.6120833333333,271.1,NA,188.5,0.99,NA,0,0,0,NA,0,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,
Aepyceros_melampus,0,0,47000,,,47000,41480,1,5093,20.2308333333333,192.75,15900,174.45,0.95,NA,0,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,
Aepyprymnus_rufescens,0,1,2810.31,,,2810.31,NA,1.03,NA,NA,NA,NA,NA,3,117,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,NA,NA,
Aethomys_chrysophilus,0,0,78.55,,,NA,78.55,3.6,4.45,NA,24.9,31,29.4,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,
Aethomys_hindei,0,NA,107,,,NA,107,1.68,NA,NA,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Aethomys_kaiseri,0,NA,198,,,NA,198,2.8,6.1,NA,27,47.57,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Aethomys_maquensis,0,NA,47.56,,,NA,47.56,3.75,2.5,NA,NA,12.5,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Agouti_paca,0,1,3627,,,3627,9000,1.26,682.4,15.3675,115.55,NA,67.65,1.5,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,1,1,NA,NA,
Ailuropoda_melanoleuca,0,1,102749.995,,,102749.995,111600,1.58,106.84,29.1808333333333,108.15,18499.995,329.25,0.7,638.75,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0.5,1,
Ailurus_fulgens,0,0,5285.04,,,5285.04,4325,1.86,112.105,16.6820833333333,131.5,1140,127.5,1,365,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,
Akodon_azarae,0,1,25.27,,,25.27,27.33,4.32,2.2,NA,23.7,NA,14.7,1.125,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,NA,NA,
Akodon_boliviensis,0,NA,25.95,,,NA,25.95,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Akodon_cursor,0,0,39.7,,,NA,39.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
Akodon_dolores,0,0,50,,,NA,50,3.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
Akodon_longipilis,0,NA,37.55,,,NA,37.55,3.7,3.3,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Akodon_molie,0,NA,33,,,NA,33,3.78,3,NA,23.1,NA,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Akodon_olivaceus,0,NA,28.03,,,NA,28.03,5.5,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Akodon_urichi,0,NA,50,,,NA,50,5,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Akodon_varius,0,0,37.3,,,NA,37.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,
Alcelaphus_buselaphus,0,1,114750,,,114750,150000,1,10166.67,18.7908333333334,232.5,NA,202.5,NA,NA,0.1,0,0,NA,0.1,NA,1,1,0,0.55,1.55,NA,1,NA,NA,
Alces_alces,0,0,272160,,,272160,351000,1.29,13018.18,20.7258333333333,234.75,94000,132,0.77,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,
Allactaga_elater,0,1,58.67,,,NA,58.67,4.55,NA,NA,NA,NA,32.7,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.52,1.52,NA,1,NA,NA,
Allactaga_euphratica,0,1,35.9,,,NA,35.9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,
Allactaga_sibirica,0,NA,117.5,,,NA,117.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Allactaga_tetradactyla,0,NA,52,,,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Allenopithecus_nigroviridis,0,1,3240.835,,,NA,3240.835,1,221,23.6,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,
Allocebus_trichotis,0,NA,84,,,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Allocricetulus_eversmanni,0,1,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,NA,NA,
Alopex_lagopus,0,1,3415,,,3415,4500,8.12,71.04,15.4041666666667,52.5,NA,56.55,0.92,NA,0.1,1,1,NA,2.1,NA,1,NA,NA,NA,NA,0,0,NA,NA,
Alouatta_belzebul,0,NA,5520,,,NA,5520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Alouatta_caraya,0,1,4240,,,4240,4841.5,1,187.5,28.69,186.966666666667,NA,258.8,0.98,NA,0.1,0,0,NA,0.1,NA,1,NA,NA,NA,NA,0,0,NA,NA,
Alouatta_fusca,0,1,4350,,,NA,4350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,
Alouatta_guariba,0,1,4550,,,4550,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,1,0,0,1,NA,1,NA,NA,
Alouatta_palliata,0,1,5807.46624619208,,,5807.46624619208,5491.07,1.03,382.738759031802,18.2845395551934,186.202178416572,1084.58333333333,385.533333333333,0.6,645.135,0.1,0,0,NA,0.1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,
Alouatta_pigra,0,1,7172.06,,,7172.06,11600,1.005,480,NA,186.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,NA,NA,
Alouatta_seniculus,0,1,5804.155,,,5804.155,5427.645,1.20666666666667,283.806666666667,20.115,191.033333333333,NA,373.766666666667,NA,505.525,0,0,0,NA,0,NA,0,NA,NA,NA,NA,1,1,0.5,1,
Alouatta_villosa,0,NA,6430,,,NA,6430,NA,480,15.5,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Aloutta_palliata,0,1,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,0,0,
Aloutta_seniculus,0,1,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,
Alticola_argentatus,0,NA,37.7,,,NA,37.7,3.6,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Alticola_roylei,0,NA,35,,,NA,35,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
